"id","order","score","weight","color","label","total"
"FIS",1.5,59,0.5,"#9E0041","Murder",5928
"MAR",1.21,24,0.5,"#C32F4B","Rape",5928
"AO",2,588,1,"#E1514B","Aggravated Assault",5928
"CP",5,126,1,"#FEC574","Robbery",5928
"TR",6,174,1,"#FAE38C","Burglary",5928
"CS",4,1528,1,"#FB9F59","Intimidation",5928
"LIV",7.225,77,0.5,"#EAF195","Larceny",5928
"ECO",7.20,88,0.5,"#C7E89E","Motor Theft",5928
"ICO",8.36,60,0.5,"#9CD6A4","Arson",5928
"NP",3,1441,1,"#F47245","Simple Assault",5928
"LSP",8.1783,65,0.5,"#6CC4A4","Vandalism",5928
"CW",9,84,1,"#4D9DB4","Other",5928
"HAB",10.79,88,0.5,"#4776B4","Crimes Against Society",5928
