"id","order","score","weight","color","label","total"
"FIS",1.7,59,0.5,"#9E0041","Murder",7783
"MAR",1.11,24,0.5,"#C32F4B","Rape",7783
"AO",2,774,1,"#E1514B","Aggravated Assault",7783
"CP",5,145,1,"#FEC574","Robbery",7783
"TR",6,158,1,"#FAE38C","Burglary",7783
"CS",4,2178,1,"#FB9F59","Intimidation",7783
"LIV",7.224,77,0.5,"#EAF195","Larceny",7783
"ECO",7.26,88,0.5,"#C7E89E","Motor Theft",7783
"ICO",8.53,60,0.5,"#9CD6A4","Arson",7783
"NP",3,1503,1,"#F47245","Simple Assault",7783
"LSP",8.2970,65,0.5,"#6CC4A4","Vandalism",7783
"CW",9,49,1,"#4D9DB4","Other",7783
"HAB",10.18,88,0.5,"#4776B4","Crimes Against Society",7783
