STATE,TOTAL_OFFENSES,POPULATION
Alabama,12,4779735
Alaska,9,710231
Arizona,220,6329013
Arkansas,109,2915921
California,1761,37253956
Colorado,190,5029196
Connecticut,194,3574097
Delaware,72,897934
District of Columbia,48,601723
Florida,182,18801311
Georgia,11,9687653
Idaho,44,1360301
Illinois,141,1567582
Indiana,72,12830632
Iowa,36,6483800
Kansas,131,3046350
Kentucky,71,2853118
Louisiana,76,4339362
Maine,74,4515770
Maryland,105,1328361
Massachusetts,386,5773552
Michigan,659,6547629
Minnesota,195,9883635
Mississippi,5,5303925
Missouri,126,2967297
Montana,28,5988927
Nebraska,12,989415
Nevada,102,1826341
New Hampshire,90,2700551
New Jersey,744,1316472
New Mexico,10,8791894
New York,586,2059180
North Carolina,183,19378104
North Dakota,20,9535475
Ohio,415,672591
Oklahoma,58,11536502
Oregon,217,3751354
Pennsylvania,83,3831074
Rhode Island,37,12702379
South Carolina,181,1052567
South Dakota,49,4625364
Tennessee,299,814180
Texas,278,6346110
Utah,56,25145561
Vermont,25,2763885
Virginia,295,625741
Washington,314,8001024
West Virginia,47,6724540
Wisconsin,98,1852996
Wyoming,12,584910
