State,Total offenses,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other3,Robbery,Burglary,Larceny- theft,Motor vehicle theft,Arson,Destruction-damage-vandalism,Other2,Crimes against society
Alabama,24,2,0,0,6,15,0,0,0,0,0,0,1,0,0
Alaska,9,0,0,3,4,2,0,0,0,0,0,0,0,0,0
Arizona,300,0,0,56,51,106,0,2,0,0,0,4,81,0,0
Arkansas,85,0,0,8,24,23,0,0,5,10,0,1,12,2,0
California,1331,1,1,197,280,354,0,35,19,6,1,8,429,0,0
Colorado,196,0,0,39,37,78,0,0,0,1,0,0,40,0,1
Connecticut,168,0,0,10,29,54,1,3,1,4,0,0,66,0,0
Delaware,20,0,0,0,1,7,0,0,0,0,0,1,11,0,0
District of Columbia,66,0,1,16,21,12,0,8,0,0,0,0,8,0,0
Florida,146,0,0,32,24,37,0,4,1,1,0,0,47,0,0
Georgia,19,0,0,3,3,5,0,0,0,0,0,1,7,0,0
Idaho,34,0,0,6,12,4,0,0,2,1,0,0,9,0,0
Illinois,116,0,0,16,26,29,0,0,1,2,0,0,42,0,0
Indiana,116,0,0,8,22,52,0,0,2,1,0,0,31,0,0
Iowa,23,0,0,4,6,1,0,0,1,1,0,0,9,0,1
Kansas,73,0,0,17,19,17,0,1,1,2,0,0,16,0,0
Kentucky,205,1,0,21,38,44,4,4,21,12,2,0,51,3,4
Louisiana,17,0,0,0,5,0,0,0,2,3,0,0,5,2,0
Maine,76,0,0,3,15,40,0,0,0,0,0,0,18,0,0
Maryland,82,1,0,10,8,0,0,2,1,0,0,0,60,0,0
Massachusetts,360,0,0,31,53,156,2,1,1,13,2,0,101,0,0
Michigan,372,0,0,30,64,137,1,3,9,19,4,3,100,2,0
Minnesota,140,0,0,14,68,20,0,5,0,0,0,1,32,0,0
Mississippi,11,0,0,0,2,2,0,0,0,2,1,0,1,3,0
Missouri,167,0,0,29,31,50,0,3,6,4,1,1,41,0,1
Montana,37,0,0,11,11,0,0,1,2,6,0,0,5,0,1
Nebraska,62,0,0,3,25,16,0,1,0,0,0,0,17,0,0
Nevada,76,0,0,16,19,7,0,3,1,1,0,2,27,0,0
New Hampshire,35,0,0,2,6,17,0,0,0,0,0,0,10,0,0
New Jersey,557,0,0,7,26,277,0,2,1,2,0,2,240,0,0
New Mexico,25,0,0,14,6,3,0,1,0,0,0,0,1,0,0
New York,710,0,0,48,295,91,0,34,9,7,0,2,224,0,0
North Carolina,132,0,0,29,13,48,0,0,1,4,0,1,36,0,0
North Dakota,13,0,0,0,7,3,0,0,0,1,0,0,2,0,0
Ohio,295,0,0,9,60,115,0,10,10,17,0,2,69,3,0
Oklahoma,60,0,0,13,9,20,0,0,2,0,0,0,16,0,0
Oregon,161,0,0,15,25,52,3,3,5,2,0,3,52,1,0
Pennsylvania,69,0,0,8,8,40,0,1,0,0,0,4,8,0,0
Rhode Island,21,0,0,1,7,2,0,0,0,0,0,0,10,1,0
South Carolina,129,0,0,22,25,28,0,1,2,6,2,0,37,3,3
South Dakota,56,0,0,6,22,4,0,1,1,4,1,1,11,5,0
Tennessee,163,0,0,19,42,44,0,2,5,3,0,1,46,1,0
Texas,202,1,0,36,54,52,0,4,1,2,1,1,50,0,0
Utah,67,0,0,2,22,3,1,1,3,9,0,1,22,2,1
Vermont,22,0,0,6,4,2,0,0,0,2,0,0,8,0,0
Virginia,204,1,1,20,55,36,1,3,0,7,0,3,76,1,0
Washington,301,0,0,21,50,120,0,1,1,7,0,0,98,1,2
West Virginia,36,0,0,4,11,3,0,0,2,3,1,0,7,5,0
Wisconsin,108,0,1,23,30,3,0,6,6,10,0,0,29,0,0
Wyoming,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1 Includes additional offenses collected in the National Incident-Based Reporting System.  See Methodology.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
