STATE,TOTAL_OFFENSES,POPULATION
Alabama,6,4827660
Alaska,9,736760
Arizona,212,6616124
Arkansas,34,2956780
California,1012,38347383
Colorado,154,5262556
Connecticut,172,3602470
Delaware,13,925114
District of Columbia,80,650114
Florida,82,19584927
Georgia,72,9981773
Idaho,37,1610187
Illinois,123,12890403
Indiana,78,6567484
Iowa,15,3089876
Kansas,74,2892900
Kentucky,209,4399121
Louisiana,23,4626795
Maine,28,1327975
Maryland,58,5932654
Massachusetts,393,6711138
Michigan,399,9899219
Minnesota,167,5416074
Mississippi,4,2987721
Missouri,116,6041142
Montana,37,1011921
Nebraska,39,1867414
Nevada,80,2786547
New Hampshire,23,1322622
New Jersey,447,8913735
New Mexico,12,2085161
New York,655,19712514
North Carolina,140,9849812
North Dakota,63,722908
Ohio,447,11567845
Oklahoma,45,3849840
Oregon,75,3919664
Pennsylvania,110,12778450
Rhode Island,8,1052784
South Carolina,59,4765862
South Dakota,18,842513
Tennessee,245,6490795
Texas,161,26479279
Utah,87,2899961
Vermont,13,626044
Virginia,126,8261689
Washington,344,6963410
West Virginia,63,1852333
Wisconsin,65,5736673
Wyoming,1,582341
