State,Total offenses,Murder,Rape,Aggravated assault,Simple assault,Intimidation,Other3,Robbery,Burglary,Larceny- theft,Motor vehicle theft,Arson,Destruction-damage-vandalism,Other2,Crimes against society
Total,6718,10,15,854,1570,1489,30,126,142,258,23,38,1906,54,203
Alabama,6,0,0,0,1,1,0,0,0,1,0,0,2,0,1
Alaska,6,1,0,1,3,0,0,0,0,0,0,0,1,0,0
Arizona,209,0,0,43,35,75,0,5,4,4,0,0,43,0,0
Arkansas,30,0,0,3,6,5,1,0,0,2,0,0,8,1,4
California,1089,0,2,226,237,245,0,29,11,3,2,10,324,0,0
Colorado,233,0,1,37,55,49,0,9,7,19,4,1,48,3,0
Connecticut,176,0,0,8,46,66,0,1,2,7,1,0,44,1,0
Delaware,11,0,0,0,1,5,0,1,0,0,0,0,4,0,0
District of Columbia,81,0,0,8,35,14,0,14,0,1,0,0,9,0,0
Florida,166,1,0,42,43,23,0,4,3,0,0,1,49,0,0
Georgia,21,0,0,2,6,8,0,0,0,0,0,0,5,0,0
Idaho,39,0,0,3,9,13,1,1,1,1,0,0,10,0,0
Illinois,101,0,1,24,27,14,0,3,1,0,0,2,29,0,0
Indiana,38,0,0,5,7,2,0,1,1,0,0,0,22,0,0
Iowa,8,0,0,1,0,3,0,0,0,0,0,0,4,0,0
Kansas,97,0,0,7,26,26,1,0,4,6,0,0,24,3,0
Kentucky,230,0,0,12,51,66,6,10,12,14,1,1,43,8,6
Louisiana,4,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Maine,61,0,0,2,13,27,1,0,0,0,0,0,18,0,0
Maryland,45,0,0,14,11,0,0,1,0,0,0,1,18,0,0
Massachusetts,190,0,1,31,34,39,2,1,3,14,1,0,60,3,1
Michigan,718,0,0,86,161,213,0,5,10,19,3,2,113,5,101
Minnesota,83,0,0,7,14,34,0,4,0,1,0,2,21,0,0
Mississippi,19,0,0,0,5,1,1,0,0,5,0,0,2,2,3
Missouri,121,0,0,20,25,28,0,3,6,3,0,2,33,1,0
Montana,39,0,0,6,8,0,2,0,1,6,1,0,13,1,1
Nebraska,10,0,0,1,4,1,0,0,1,1,0,0,2,0,0
Nevada,113,0,0,30,26,18,0,5,4,2,0,2,26,0,0
New Hampshire,34,0,0,2,8,11,0,0,0,1,0,0,12,0,0
New Mexico,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0
New York,741,1,4,18,251,40,0,5,15,12,0,6,389,0,0
North Carolina,140,0,0,12,35,33,0,1,2,3,0,3,51,0,0
North Dakota,52,0,0,2,17,12,0,2,2,7,0,0,7,3,0
Ohio,296,0,0,13,47,112,2,4,11,11,1,2,87,2,4
Oklahoma,26,0,0,2,8,11,0,0,2,2,0,0,1,0,0
Oregon,64,0,0,6,7,22,0,1,0,2,0,0,24,1,1
Pennsylvania,42,0,0,7,9,15,0,0,1,1,0,0,9,0,0
Rhode Island,15,0,0,2,1,2,0,0,2,0,0,0,8,0,0
South Carolina,172,0,0,21,34,24,2,1,11,31,2,0,28,5,13
South Dakota,37,0,1,8,10,4,0,0,0,0,0,0,14,0,0
Tennessee,367,0,2,44,93,80,6,6,12,27,2,2,48,6,39
Texas,60,0,0,7,18,10,0,0,1,2,0,1,21,0,0
Utah,113,0,0,4,22,12,4,0,3,8,1,0,36,2,21
Vermont,14,0,0,0,5,1,0,0,0,1,0,0,7,0,0
Virginia,152,0,0,16,36,25,0,1,0,1,0,0,73,0,0
Washington,323,1,3,40,64,84,1,5,5,28,3,0,85,3,1
West Virginia,29,0,0,2,6,1,0,0,2,6,1,0,4,3,4
Wisconsin,91,6,0,24,8,13,0,3,2,5,0,0,26,1,3
Wyoming,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1 Includes additional offenses collected in the National Incident-Based Reporting System.  See Methodology.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
