State,Total offenses,Murder,Rape1,Rape2,Aggravated assault,Simple assault,Intimidation,Other3,Robbery,Burglary,Larceny- theft,Motor vehicle theft,Arson,Destruction-damage-vandalism,Other2,Crimes against society
Total,6933,5,15,6,734,1720,1925,25,126,174,225,20,36,1783,60,79
Alabama,6,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0
Alaska,9,0,0,0,3,1,3,0,0,1,0,0,0,1,0,0
Arizona,212,0,0,1,45,46,61,0,8,5,3,0,0,39,1,3
Arkansas,34,1,0,0,6,4,17,0,0,0,1,0,1,4,0,0
California,1012,1,0,1,149,239,235,0,32,19,3,2,7,324,0,0
Colorado,154,0,2,0,19,37,48,0,6,1,3,0,0,37,1,0
Connecticut,172,0,0,0,9,29,71,0,0,1,12,0,0,41,1,8
Delaware,13,0,0,0,3,3,5,0,0,0,0,0,0,2,0,0
District of Columbia,80,0,0,0,16,37,12,0,6,1,1,0,0,7,0,0
Florida,82,0,0,0,13,21,16,0,2,2,1,1,0,26,0,0
Georgia,72,0,0,0,9,22,31,0,3,0,0,0,0,7,0,0
Idaho,37,0,0,0,9,6,10,0,0,0,2,0,0,9,1,0
Illinois,123,0,0,0,28,42,18,0,3,2,4,0,1,25,0,0
Indiana,78,0,0,0,13,21,30,0,1,2,0,0,0,11,0,0
Iowa,15,0,0,0,6,1,3,0,0,1,0,0,0,4,0,0
Kansas,74,0,0,0,3,21,17,0,0,2,7,0,0,20,3,1
Kentucky,209,0,0,0,10,42,68,6,6,13,10,3,2,40,5,4
Louisiana,23,0,0,0,1,6,2,0,0,0,4,0,1,8,1,0
Maine,28,0,0,0,0,8,13,0,1,0,0,0,1,4,0,1
Maryland,58,0,0,0,13,12,6,0,0,1,1,0,2,23,0,0
Massachusetts,393,0,2,0,16,72,177,1,3,6,14,0,0,98,3,1
Michigan,399,0,3,0,54,92,152,0,2,10,13,0,3,66,4,0
Minnesota,167,0,2,0,25,38,63,0,5,1,1,0,0,32,0,0
Mississippi,4,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
Missouri,116,1,1,0,21,29,21,1,3,6,4,3,0,19,4,3
Montana,37,0,0,0,3,11,0,1,0,1,8,1,0,11,1,0
Nebraska,39,0,0,0,2,13,3,1,0,0,1,0,0,15,2,2
Nevada,80,0,0,1,14,31,9,0,4,7,0,0,0,14,0,0
New Hampshire,23,0,0,0,1,5,7,0,0,2,0,0,0,8,0,0
New Jersey,447,0,0,0,11,26,259,0,2,2,1,0,1,145,0,0
New Mexico,12,0,0,0,2,3,3,0,0,0,1,0,0,3,0,0
New York,655,2,0,1,28,300,3,0,0,26,8,0,5,282,0,0
North Carolina,140,0,0,0,20,34,37,0,3,2,3,0,0,41,0,0
North Dakota,63,0,1,0,4,22,13,1,0,1,6,1,0,8,1,5
Ohio,447,0,1,0,11,62,181,2,10,22,43,6,1,90,10,8
Oklahoma,45,0,0,0,2,14,13,0,1,1,1,0,1,11,1,0
Oregon,75,0,0,0,7,12,15,0,0,3,1,0,0,37,0,0
Pennsylvania,110,0,0,0,11,12,72,0,0,0,0,0,4,11,0,0
Rhode Island,8,0,0,0,0,2,1,0,0,1,0,0,0,4,0,0
South Carolina,59,0,0,0,13,16,12,0,0,1,5,0,0,10,2,0
South Dakota,18,0,0,0,2,7,1,1,1,1,1,0,0,4,0,0
Tennessee,245,0,2,0,36,100,47,8,6,2,4,0,1,30,3,6
Texas,161,0,0,1,27,65,29,0,6,1,0,0,0,31,0,1
Utah,87,0,0,0,7,12,10,2,0,2,10,2,0,16,2,24
Vermont,13,0,0,0,1,4,2,0,0,0,2,0,0,4,0,0
Virginia,126,0,0,0,6,31,20,0,1,2,1,0,2,60,2,1
Washington,344,0,1,1,41,76,86,0,4,11,26,1,2,76,8,11
West Virginia,63,0,0,0,4,12,4,0,4,10,14,0,0,12,3,0
Wisconsin,65,0,0,0,7,19,18,0,3,1,2,0,1,13,1,0
Wyoming,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
