STATE,TOTAL_OFFENSES,POPULATION
Alabama,24,4779736
Alaska,9,710231
Arizona,300,6392017
Arkansas,85,2915918
California,1331,37253956
Colorado,196,5029196
Connecticut,168,3574097
Delaware,20,897934
District of Columbia,66,601723
Florida,146,18801310
Georgia,19,9687653
Idaho,34,1567582
Illinois,116,12830632
Indiana,116,6483802
Iowa,23,3046355
Kansas,73,2853118
Kentucky,205,4339367
Louisiana,17,4533372
Maine,76,1328361
Maryland,82,5773552
Massachusetts,360,6547629
Michigan,372,9883640
Minnesota,140,5303925
Mississippi,11,2967297
Missouri,167,5988927
Montana,37,989415
Nebraska,62,1826341
Nevada,76,2700551
New Hampshire,35,1316470
New Jersey,557,8791894
New Mexico,25,2059179
New York,710,19378102
North Carolina,132,9535483
North Dakota,13,672591
Ohio,295,11536504
Oklahoma,60,3751351
Oregon,161,3831074
Pennsylvania,69,12702379
Rhode Island,21,1052567
South Carolina,129,4625364
South Dakota,56,814180
Tennessee,163,6346105
Texas,202,25145561
Utah,67,2763885
Vermont,22,625741
Virginia,204,8001024
Washington,301,6724540
West Virginia,36,1852994
Wisconsin,108,5686986
Wyoming,2,563626
