STATE,TOTAL_OFFENSES,POPULATION
Alabama,6,4813946
Alaska,6,730825
Arizona,209,6544211
Arkansas,30,2949208
California,1089,38019006
Colorado,233,5186330
Connecticut,176,3597705
Delaware,11,916868
District of Columbia,81,635630
Florida,166,19341327
Georgia,21,9911171
Idaho,39,1594673
Illinois,101,12878494
Indiana,38,6535665
Iowa,8,3074386
Kansas,97,2885316
Kentucky,230,4383673
Louisiana,4,4602681
Maine,61,1328101
Maryland,45,5891680
Massachusetts,190,6659627
Michigan,718,9886610
Minnesota,83,5377695
Mississippi,19,2982963
Missouri,121,6023267
Montana,39,1003522
Nebraska,10,1854862
Nevada,113,2752410
New Hampshire,34,1320923
New Jersey,4,8882095
New Mexico,741,2083590
New York,140,19625409
North Carolina,52,9755299
North Dakota,296,701380
Ohio,26,11546969
Oklahoma,64,3815298
Oregon,42,3893920
Pennsylvania,15,12768034
Rhode Island,172,1052761
South Carolina,37,4719009
South Dakota,367,832576
Tennessee,60,6450632
Texas,113,26078327
Utah,14,2854222
Vermont,152,625606
Virginia,323,8188656
Washington,29,6890899
West Virginia,91,1855360
Wisconsin,2,5721075
Wyoming,3,576608
