STATE,TOTAL_OFFENSES,POPULATION
Alabama,12,4850858
Alaska,19,737979
Arizona,322,6802262
Arkansas,8,2975626
California,1017,39032444
Colorado,143,5440445
Connecticut,107,3593862
Delaware,11,944107
District of Columbia,74,672736
Florida,83,20268567
Georgia,49,10199533
Idaho,46,1649324
Illinois,101,12862051
Indiana,76,6610596
Iowa,6,3118473
Kansas,81,2905789
Kentucky,218,4422057
Louisiana,45,4671211
Maine,45,1327787
Maryland,43,6000561
Massachusetts,483,6794002
Michigan,373,9918170
Minnesota,132,5483238
Mississippi,0,2985297
Missouri,137,6072640
Montana,47,1028317
Nebraska,19,1893564
Nevada,70,2883057
New Hampshire,15,1330134
New Jersey,349,8960001
New Mexico,14,2082264
New York,515,19819347
North Carolina,208,10041769
North Dakota,54,754859
Ohio,470,11606027
Oklahoma,47,3904353
Oregon,79,4016537
Pennsylvania,71,12791124
Rhode Island,19,1055916
South Carolina,69,4892423
South Dakota,20,854036
Tennessee,294,6590726
Texas,219,27454880
Utah,56,2984917
Vermont,8,624455
Virginia,184,8366767
Washington,326,7152818
West Virginia,49,1839767
Wisconsin,47,5759744
Wyoming,2,586102
