STATE,TOTAL_OFFENSES,POPULATION
Alabama,96,4798649
Alaska,8,722259
Arizona,231,6465488
Arkansas,18,2938640
California,1204,37672654
Colorado,223,5116411
Connecticut,164,3591927
Delaware,21,907884
District of Columbia,105,620336
Florida,139,19097369
Georgia,21,9810595
Idaho,49,1583180
Illinois,89,12862298
Indiana,120,6515358
Iowa,20,3063690
Kansas,83,2868756
Kentucky,186,4368505
Louisiana,7,4574388
Maine,66,1327968
Maryland,64,5843115
Massachusetts,424,6612178
Michigan,417,9876199
Minnesota,186,5345967
Mississippi,1,2977452
Missouri,147,6010280
Montana,23,996866
Nebraska,39,1841641
Nevada,70,2718170
New Hampshire,26,1318345
New Jersey,553,8844694
New Mexico,35,2077744
New York,566,19526372
North Carolina,129,9662940
North Dakota,32,684830
Ohio,277,11543332
Oklahoma,38,3785232
Oregon,151,3865845
Pennsylvania,60,12742811
Rhode Island,20,1052154
South Carolina,157,4672744
South Dakota,23,823338
Tennessee,162,6396281
Texas,189,25644424
Utah,79,2815430
Vermont,9,626210
Virginia,166,8107548
Washington,252,6819155
West Virginia,21,1854891
Wisconsin,85,5705812
Wyoming,3,567602
