STATE,TOTAL_OFFENSES,POPULATION
Alabama,10,4840037
Alaska,7,736759
Arizona,304,6706435
Arkansas,16,2964800
California,943,38701278
Colorado,129,5342311
Connecticut,144,3600188
Delaware,18,934805
District of Columbia,87,660797
Florida,72,19897747
Georgia,50,10083850
Idaho,40,1630391
Illinois,136,12882438
Indiana,60,6593182
Iowa,12,3105563
Kansas,86,2899553
Kentucky,199,4410415
Louisiana,11,4648797
Maine,34,1328903
Maryland,18,5970245
Massachusetts,418,6757925
Michigan,354,9914675
Minnesota,117,5452649
Mississippi,1,2988578
Missouri,106,6058014
Montana,43,1019931
Nebraska,61,1880920
Nevada,29,2831730
New Hampshire,22,1328684
New Jersey,347,8943010
New Mexico,13,2083207
New York,558,19773580
North Carolina,186,9941160
North Dakota,51,738658
Ohio,474,11593741
Oklahoma,37,3875008
Oregon,38,3960673
Pennsylvania,58,12790341
Rhode Island,5,1054782
South Carolina,60,4824758
South Dakota,18,849455
Tennessee,220,6540007
Texas,165,26954436
Utah,58,2938671
Vermont,15,625665
Virginia,131,8316902
Washington,367,7046931
West Virginia,28,1847624
Wisconsin,62,5751272
Wyoming,0,583334
